Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle,athlete_id
2024,Olumuyiwa Fashanu,Penn State,OT,78,312,8.5,34,NA,5.11,NA,32,109,NA,NA,NA,NA
2024,Troy Fautanu,Washington,OG,75.75,317,9.5,34.5,NA,5.01,29,32.5,113,NA,NA,NA,NA
2024,Blake Fisher,Notre Dame,OT,77.75,318,10,34.38,NA,5.2,22,28,114,4.73,7.76,NA,4432699
2024,Braden Fiske,Florida State,DT,75.63,292,9.38,31,NA,4.78,26,33.5,117,4.37,NA,NA,4362245
2024,Jeremy Flax,Kentucky,OT,77.5,343,9,33.13,NA,5.64,NA,28,100,5.13,8.19,NA,4692176
2024,Ryan Flournoy,Southeast Missouri State,WR,72.75,202,10.13,31.63,NA,4.44,19,39.5,132,4.37,7.08,NA,NA
2024,Jaylan Ford,Texas,ILB,74.38,240,9.5,31.75,NA,4.72,18,33.5,121,4.24,7.09,NA,4566088
2024,Javon Foster,Missouri,OT,77.5,313,9.63,34.63,NA,5.3,18,32.5,106,4.93,7.7,NA,NA
2024,Troy Franklin,Oregon,WR,73.88,176,8.75,31.88,NA,4.41,NA,39,124,4.31,6.9,NA,4431280
2024,Zach Frazier,West Virginia,C,74.63,315,10.88,32.25,NA,5.26,30,28.5,100,4.69,7.85,NA,4429775
2024,Taliese Fuaga,Oregon State,OT,77.75,324,10.13,33.13,NA,5.13,NA,32,111,NA,NA,NA,4606711
2024,XZauvea Gadlin,Liberty (VA),OG,75.25,322,10.25,33.25,NA,5.5,25,24,96,4.97,8.26,NA,NA
2024,Nick Gargiulo,South Carolina,C,77.38,318,10.38,33.88,NA,5.25,28,32.5,101,4.65,7.33,NA,NA
2024,Easton Gibbs,Wyoming,ILB,72.38,232,9.25,30.38,NA,4.73,20,31.5,109,4.37,6.98,NA,4427265
2024,Delmar Glaze,Maryland,OT,76.13,315,10.25,34.88,NA,5.21,29,25.5,104,4.83,8.15,NA,4606683
2024,Matt Goncalves,Pittsburgh,OT,78.25,317,9,33.25,NA,5.22,19,30.5,NA,4.89,NA,NA,4427298
2024,Frank Gore,Southern Mississippi,RB,67.63,198,8.25,29.63,NA,4.69,12,29,111,NA,NA,NA,NA
2024,Anthony Gould,Oregon State,WR,68.38,174,8.88,29.63,NA,4.39,NA,39.5,129,4.16,6.94,NA,4429684
2024,Tylan Grable,Central Florida,OT,77.75,306,10.13,33.63,NA,4.95,NA,36.5,117,NA,NA,NA,4368828
2024,Cedric Gray,North Carolina,ILB,73.75,241,9,32.5,NA,4.64,17,35.5,120,4.54,7.19,NA,4429834
2024,Renardo Green,Florida State,CB,71.88,186,9.13,31.25,NA,4.49,NA,37.5,130,4.28,NA,NA,4427325
2024,Garret Greenfield,South Dakota State,OT,77.75,311,9.75,33.5,NA,5.22,NA,38.5,113,4.85,7.76,NA,NA
2024,Lideatrick Griffin,Mississippi State,WR,70,181,9.13,30.63,NA,4.43,NA,35.5,124,4.35,7,NA,4429153
2024,Isaac Guerendo,Louisville,RB,72,221,9.25,30.75,NA,4.33,17,41.5,129,4.15,6.94,NA,4372561
2024,Tyler Guyton,Oklahoma,OT,79.75,322,10.25,34.13,NA,5.19,NA,34.5,107,4.71,7.5,NA,4609048
2024,Kamal Hadden,Tennessee,CB,73,192,8.5,30.88,NA,4.59,NA,34.5,122,4.31,7.15,NA,4427356
2024,Gabe Hall,Baylor,DT,78,291,9.5,34.5,NA,5.03,NA,31.5,115,4.67,7.65,NA,4429731
2024,Michael Hall,Ohio State,DT,74.75,299,10,33.5,NA,4.75,24,33,111,NA,NA,NA,NA
2024,Dominique Hampton,Washington,SS,74.38,215,10,33.25,NA,4.51,20,39,122,4.14,6.83,NA,4361094
2024,CJ Hanson,Holy Cross (MA),OG,77,300,9.38,32.38,NA,5,25,33.5,115,4.71,7.9,NA,NA
2024,Myles Harden,South Dakota,FS,70.88,195,9.38,29.88,NA,4.5,13,35.5,118,3.98,6.88,NA,NA
2024,Daequan Hardy,Penn State,CB,69.38,179,8.13,30,NA,4.38,NA,42.5,126,4.2,7.06,NA,4429743
2024,Jaylen Harrell,Michigan,DE,75.75,250,9.75,33.25,NA,4.68,NA,37,118,4.39,NA,NA,4429058
