Draft Class,Name,School,Position,Height,Weight,Hand Size,Arm Length,Wonderlic,40 Yard Dash,Bench Press,Vertical,Broad Jump,Shuttle,3 Cone,60Yd Shuttle
2018,Aaron Evans,Central Florida,OT,76.88,309,9.88,32.5,,5.31,27,25,97,4.76,7.75,
2018,Desmond Harrison,West Georgia,OT,78,292,10.38,34,,4.9,,30,98,4.79,7.64,
2018,Jeromy Irwin,Colorado,OT,76.88,306,9.88,33.5,,5.34,28,25.5,108,4.94,8.03,
2018,Jamarco Jones,Ohio State,OT,76,299,9.5,35.125,,5.5,18,24,102,4.99,8.32,
2018,Jaryd Jones-Smith,Pittsburgh,OT,78.5,317,10,36.25,,5.22,16,27,109,4.94,8.1,
2018,Brett Kendrick,Tennessee,OT,77.75,305,10.13,32.25,,5.49,25,30.5,99,5.01,7.73,
2018,David Knevel,Nebraska,OT,80.63,333,9.38,33.375,,5.75,16,20,92,5,8.13,
2018,Rick Leonard,Florida State,OT,79,311,9.25,32.25,,,19,30.5,112,,,
2018,KC Mcdermott,Miami (FL),OT,77.63,311,9.75,32.5,,5.35,26,23.5,97,4.82,7.72,
2018,Mike McGlinchey,Notre Dame,OT,79.88,309,10,34,,,24,28.5,105,,,
2018,Kyle Meadows,Kentucky,OT,77.13,301,10,32.875,,5.46,,27,101,5.06,8.08,
2018,Kolton Miller,UCLA,OT,80.63,309,10.75,34.125,,4.91,24,31.5,121,4.49,7.34,
2018,Christian Morris,Tennessee State,OT,78,306,10,35,,5.32,21,27,103,5.03,8.1,
2018,Joseph Noteboom,Texas Christian,OT,77,309,9.63,34.375,,4.96,27,24,101,4.44,7.65,
2018,Chukwuma Okorafor,Western Michigan,OT,78,320,10.25,34.5,,5.31,19,23.5,102,4.8,7.87,
2018,Brian ONeill,Pittsburgh,OT,78.88,297,9.38,34.125,,4.8,22,29.5,107,4.5,7.14,
2018,Brandon Parker,North Carolina A&T,OT,79.63,305,9.75,35,,5.37,21,28.5,113,4.68,7.82,
