Draft Class,Name,School,Position,Height,Weight,Hand Size,Arm Length,Wonderlic,40 Yard Dash,Bench Press,Vertical,Broad Jump,Shuttle,3 Cone,60Yd Shuttle,Rec,Yds,Avg,TD,YP,Games Played
2010,Marcus Easley,Connecticut,WR,74.75,210,8.5,32.75,,4.39,16,34,123,4.6,6.94,11.5,53,997,18.8,8,3,34
2010,Armanti Edwards,Appalachian State (NC),WR,70.88,187,9.5,32.25,,4.45,12,33,120,4.23,6.85,,,,,,,
2010,Jacoby Ford,Clemson,WR,68.88,186,9.25,30.5,,4.22,15,33.5,115,4.44,7,,143,1986,13.9,16,4,48
2010,David Gettis,Baylor,WR,75,217,10,34,,4.43,15,34.5,124,4.41,6.94,,116,1555,13.4,4,4,47
2010,Mardy Gilyard,Cincinnati,WR,71.88,187,9.13,32.25,,4.61,,39,116,4.4,6.92,11.59,204,3003,14.7,25,4,48
2010,Shay Hodge,Mississippi,WR,73.25,209,9.25,33,,4.62,11,33.5,117,4.32,6.9,,173,2646,15.3,22,4,50
2010,Trindon Holliday,Louisiana State,WR,65.25,166,8.25,28.5,,4.21,10,42,116,4.48,6.54,,7,72,10.3,0,4,51
2010,Donald Jones,Youngstown State (OH),WR,72.38,214,9,32,,4.46,20,41,119,4.2,6.9,,,,,,,
2010,Kevin Jurovich,San Jose State,WR,70.63,182,9.5,30.5,,4.49,14,36,119,4.24,,,160,2143,13.4,11,5,41
2010,Brandon LaFell,Louisiana State,WR,74.5,211,8.75,32.75,,4.58,10,36,115,4.23,6.81,,175,2517,14.4,25,4,51
2010,Scott Long,Louisville,WR,74.13,216,9.75,31.25,,4.46,20,41.5,123,4.09,6.45,,91,1286,14.1,4,3,27
2010,Marc Mariani,Montana,WR,72.88,190,,,,4.52,10,35,120,4.27,6.94,,,,,,,
2010,Dexter McCluster,Mississippi,WR,68.75,172,8.38,29.25,18,4.53,20,37.5,118,4.06,6.84,,304,1955,6.4,15,4,40
2010,Chris McGaha,Arizona State,WR,72.88,201,10.13,31.75,,4.52,19,40,122,4.21,6.86,,168,2242,13.3,9,4,50
2010,Kerry Meier,Kansas,WR,74.13,224,9.38,32,,4.62,13,35,115,4.23,6.67,,226,2309,10.2,18,4,46
2010,Carlton Mitchell,South Florida,WR,74.88,215,10.63,33.5,,4.46,16,36,122,4.55,6.96,,105,1648,15.7,9,3,37
2010,Chris Mitchell,Louisiana State,WR,71.75,189,,,,4.49,11,36,116,4.39,7.03,,24,239,10,2,4,45
2010,Preston Parker,North Alabama,WR,71.25,199,9.25,30.375,,4.66,16,35,117,4.16,7.03,,104,1189,11.4,5,3,33
2010,Jared Perry,Missouri,WR,72.75,178,9,32,,4.51,11,33.5,121,4.39,6.75,,137,1844,13.5,13,4,52
2010,Taylor Price,Ohio,WR,72.38,204,9.5,31.25,,4.4,16,37,114,4.34,6.82,,149,2019,13.6,14,4,52
2010,David Reed,Utah,WR,72.13,191,9.38,31.75,,4.56,15,37,114,4.38,6.95,,106,1615,15.2,11,2,26
2010,Andre Roberts,Citadel (SC),WR,70.88,195,9.5,31.5,,4.4,15,36,120,4.15,6.77,,,,,,,
2010,Emmanuel Sanders,Southern Methodist (TX),WR,70.88,186,9.25,32,,4.4,12,39.5,126,4.1,6.64,,285,3791,13.3,34,4,47
2010,Jordan Shipley,Texas,WR,71.25,193,9.63,30.5,,4.6,16,36.5,116,4.26,7.03,,248,3191,12.9,33,4,53
2010,Juamorris Stewart,Southern (LA),WR,72.88,201,,,,4.63,4,35.5,113,4.42,7.19,,,,,,,
